POA;16377;228356;ADICAO;DESKTOP PADRAO , C BACKUP DE CPU ANTIGA;LUCAS BARBOSA;;;
POA;28477;228356;ADICAO;DESKTOP PADRAO , C BACKUP DE CPU ANTIGA;LUCAS BARBOSA;;;
TRL;16855;233527;BUG WINDOWS;ATUALIZACAO DE VERSAO , BACKUP DE ARQUIVOS E UPGRADE DE MEMORIA;LUCAS BARBOSA;;;
ITJ;30556;234486;ADICAO;DESKTOP PADRAO;MARCELO REIS;;;
ITJ;30584;234486;ADICAO;DESKTOP PADRAO;LUCAS BARBOSA;;;
CWB;16888;234672;WIN XP;ATUALIZACAO DA VERSAO , BACKP DE ARQUIVOS;LUCAS BARBOSA;;;
PFB;83737;234628;ADICAO;CPU ESTEIRA;LUCAS BARBOSA;;;
SDR;17766;226983;GABINETE DANIFICADO;TROCA DE COMPUTADOR;LUCAS BARBOSA;;;
QJA;20575;236641;N INICIA O WINDOWS;TROCA DE CABO SATA;LUCAS BARBOSA;;;
BHZ;24865;224472;S, DEFEITO;NENHUM DEFEITO;LUCAS BARBOSA;;;
BHZ;21515;224472;S, DEFEITO;NENHUM DEFEITO;LUCAS BARBOSA;;;
BSB;17643;236055;WIN XP;ATUALIZACAO DA VERSAO , BACKUP DE ARQUIVOS;LUCAS BARBOSA;;;
BSB;20042;236055;WIN XP;ATUALIZACAO DA VERSAO , BACKUP DE ARQUIVOS , TROCA DE GABINETE;LUCAS BARBOSA;;;
CSU;16396;234935;N CONECTA NA REDE;INSTALACAO DOS DRIVERS DE REDE;LUCAS BARBOSA;;;
CSU;21476;234935;N LIGA;ATUALIZACAO DA VERSAO , BACKUP DE ARQUIVOS , TROCA DE GABINETE;LUCAS BARBOSA;;;
CAC;27374;230006;DESLIGANDO;TROCA DE CABO SATA , TROCA DE COOLER;LUCAS BARBOSA;;;
CAC;23249;231207;N CONECTA NA REDE;INSTALACAO DOS DRIVERS DE REDE;LUCAS BARBOSA;;;
JPA;24444;235707;N APRESENTA VIDEO;LIMPEZA INTERNA , ATIVACAO DO SO;LUCAS BARBOSA;;;
CAU ;19290;236235;WIN XP;ATUALIZACAO DA VERSAO , BACKUP DE ARQUIVOS;LUCAS BARBOSA;;;
CPV;19619;234268;N LIGA;TROCA DE FONTE , ATUALIZACAO DA VERSAO , BACKUP DE ARQUIVOS , UPGRADE DE MEMORIA;LUCAS BARBOSA;;;
CWB;17716;232212;WIN XP;ATUALIZACAO DA VERSAO , BACKUP DE ARQUIVOS , UPGRADE DE MEMORIA;LUCAS BARBOSA;;;
CWB;5806;230328;N LIGA;CONECTOR 24 PINOS SOLTO;LUCAS BARBOSA;;;
QJA;19748;238343;N LIGA;TROCA DE FONTE;MARCELO REIS;;;
RDS;15869;237378;ADICAO;DESKTOP COMPLETO + ESTABILIZADOR;LUCAS BARBOSA;;;
PFB;25783;234721;ADICAO;DESKTOP PADRAO;LUCAS BARBOSA;;;
LDB;19212;238581;ADICAO;DESKTOP COMPLETO + ESTABILIZADOR;LUCAS BARBOSA;;;
VIX;5526;232219;WIN XP;NOTEBOOK - ATUALIZACAO DA VERSAO , BACKUP DE ARQUIVOS;LUCAS BARBOSA;;;
JOI;16520;233941;ADICAO;DESKTOP PADRAO ;LUCAS BARBOSA;;;
CCT;21679;233827;N LIGA;TROCA DE FONTE;LUCAS BARBOSA;;;
CPQ;22099;237473;N INICIA O WINDOWS;HD DANIFICADO;LUCAS BARBOSA;;;
CPQ;22075;237473;WIN XP;ATUALIZACAO DA VERSAO , BACKUP DE ARQUIVOS;LUCAS BARBOSA;;;
MAO;81558;210972;ADICAO;DESKTOP PADRAO;LUCAS BARBOSA;;;
MAO;27378;210972;ADICAO;DESKTOP PADRAO;LUCAS BARBOSA;;;
BAU;83717;237081;N CONECTA NA REDE;INSTALACAO REDE OFFBOARD;LUCAS BARBOSA;;;
URG;21266;238265;WIN XP;ATUALIZACAO DA AVERSAO , BACKUP DE ARQUIVOS MENOS OS PESSOAIS;LUCAS BARBOSA;;;
BNU;25887;237150;WIN XP;ATUALIZACAO DA AVERSAO , BACKUP DE ARQUIVOS;MARCELO REIS;;;
BSB;19958;237456;BUG WINDOWS;ATUALIZACAO DA AVERSAO ;LUCAS BARBOSA;;;
VIX;17332;229372;ADICAO;DESKTOP PADRAO;MARCELO REIS;;;
VIX;17755;229272;ADICAO;DESKTOP PADRAO;MARCELO REIS;;;
VIX;16550;229372;ADICAO;DESKTOP PADRAO;MARCELO REIS;;;
VIX;17726;229372;ADICAO;DESKTOP PADRAO;MARCELO REIS;;;
VIX;20543;229372;ADICAO;DESKTOP PADRAO;MARCELO REIS;;;
MOC;17020;237125;N LIGA;TROCA DE DESKTOP;LUCAS BARBOSA;;;
MOC;15803;237125;FORA DO PADRAO;ATUALIZACAO DA VERSAO;LUCAS BARBOSA;;;
MOC;22968;237125;N LIGA;ATUALIZACAO DA VERSAO  , TROCA DE FONTE;LUCAS BARBOSA;;;
BNU;9582;239060;S, DEFEITO;LIGOU NORMALMENTE SEM APRESENTAR FALHAS;LUCAS BARBOSA;;;
ROO;16884;238492;WIN XP;ATUALIZACAO DA VERSAO , BACKUP DE ARQUIVOS;ANDRE LOIOLA;;;
PNZ;9844;236398;NAO INFORMARDO;16,05,2016;LUCAS BARBOSA;;;
PNZ;83724;236398;FORA DO PADRAO;ATUALIZACAO DA VERSAO;LUCAS BARBOSA;;;
GEL;17114;238646;S, DEFEITO;TROCA DE CABO DE ENERGIA;CLEBER ROSSINI;;;
CSU;24353;236785;N LIGA;TROCA DE FONTE , ATUALIZACAO DA VERSAO , BACKUP DE ARQUIVOS;LUCAS BARBOSA;;;
RDS;54052;239098;N INICIA O WINDOWS;CONEXAO SATA DE ENERGIA;LUCAS BARBOSA;;;
PPR;18648;239678;LENTIDAO;TROCA DE PROCESSADOR E5700 E UPGRADE DE MEMORIA;LUCAS BARBOSA;;;
SJK;30084;237983;FORA DO PADRAO;DESKTOP PADRAO , C BACKUP DE ARQUIVOS;LUCAS BARBOSA;;;
JPA;30580;241095;ADICAO;CNTC 4GB DE RAM , PENTIUN 1155;LUCAS BARBOSA;;;
JPA;24185;239474;ADICAO;DESKTOP PADRAO;LUCAS BARBOSA;;;
CWB;25399;237098;ADICAO;DESKTOP PADRAO;LUCAS BARBOSA;;;
